Berlin_a,Berlin_b,Berlin_c,Frankfurt_a,Frankfurt_b,Frankfurt_c,Leipzig_a,Leipzig_b,Leipzig_c,Potsdam_a,Potsdam_b,Potsdam_c,Potsdam (high density)_a,Potsdam (high density)_b,Potsdam (high density)_c,Potsdam (subset)_a,Potsdam (subset)_b,Potsdam (subset)_c
70.66666666666667,82.0,72.0,77.0,73.33333333333333,76.33333333333333,32.333333333333336,73.66666666666667,79.66666666666667,70.33333333333333,71.33333333333333,74.66666666666667,83.66666666666667,80.66666666666667,69.66666666666667,80.0,68.33333333333333,77.0
72.33333333333333,73.33333333333333,76.33333333333333,26.333333333333332,75.33333333333333,81.0,75.33333333333333,75.33333333333333,74.33333333333333,73.33333333333333,68.0,68.33333333333333,77.33333333333333,75.33333333333333,69.66666666666667,79.66666666666667,62.666666666666664,45.0
21.333333333333332,75.66666666666667,72.33333333333333,77.33333333333333,84.66666666666667,76.0,74.33333333333333,27.0,83.66666666666667,68.0,67.66666666666667,74.66666666666667,71.0,73.33333333333333,72.33333333333333,88.66666666666667,58.333333333333336,48.333333333333336
70.66666666666667,79.66666666666667,76.66666666666667,73.33333333333333,75.33333333333333,29.333333333333332,75.33333333333333,76.66666666666667,79.0,69.66666666666667,71.66666666666667,73.66666666666667,70.66666666666667,76.33333333333333,69.66666666666667,25.666666666666668,57.333333333333336,42.666666666666664
69.66666666666667,29.0,70.66666666666667,71.33333333333333,70.33333333333333,84.66666666666667,75.0,73.0,72.0,68.33333333333333,71.33333333333333,69.0,71.33333333333333,73.0,78.66666666666667,76.33333333333333,78.0,73.0
73.66666666666667,76.33333333333333,68.66666666666667,71.66666666666667,68.66666666666667,102.33333333333333,73.0,22.666666666666668,69.66666666666667,69.0,68.33333333333333,71.66666666666667,69.33333333333333,82.66666666666667,68.33333333333333,75.66666666666667,40.666666666666664,41.0
69.33333333333333,78.66666666666667,73.66666666666667,70.66666666666667,69.0,101.66666666666667,72.66666666666667,77.33333333333333,69.33333333333333,71.33333333333333,67.66666666666667,28.0,70.33333333333333,74.33333333333333,68.66666666666667,41.0,40.333333333333336,39.333333333333336
68.33333333333333,83.0,74.33333333333333,71.0,69.0,97.33333333333333,71.66666666666667,80.66666666666667,67.66666666666667,71.0,40.666666666666664,75.33333333333333,71.66666666666667,74.0,71.66666666666667,43.0,39.0,52.333333333333336
68.33333333333333,75.0,69.0,71.66666666666667,75.66666666666667,77.33333333333333,76.66666666666667,72.66666666666667,68.33333333333333,67.66666666666667,71.66666666666667,79.33333333333333,67.33333333333333,70.66666666666667,66.0,40.0,39.666666666666664,19.666666666666668
68.66666666666667,76.33333333333333,67.33333333333333,72.66666666666667,74.33333333333333,74.33333333333333,69.0,69.33333333333333,67.33333333333333,67.0,68.0,75.33333333333333,71.66666666666667,68.66666666666667,64.66666666666667,40.0,66.0,39.333333333333336
68.66666666666667,97.33333333333333,68.0,68.33333333333333,66.66666666666667,79.0,69.0,69.66666666666667,66.33333333333333,67.33333333333333,74.66666666666667,74.0,71.0,75.0,64.33333333333333,40.666666666666664,74.33333333333333,41.666666666666664
72.0,73.0,73.33333333333333,66.33333333333333,66.0,70.0,69.33333333333333,73.66666666666667,66.33333333333333,68.33333333333333,68.0,77.0,69.33333333333333,67.0,64.33333333333333,62.0,48.666666666666664,44.666666666666664
